Field Category,UI Field Name,Backend Table,Backend Field,XML Element,Required,Type / Limit,Nullable,Default,Expected Values,Expected Data Format,Notes
Contact,First name,e_user,first_name,contact/first-name,Required if no user_id,varchar(255),Yes,,Contact first name,"Plain text; 1–255 characters. Example: Jane",Use contact-user-id OR person details per role (Owner/Contact)
Contact,Last name,e_user,last_name,contact/last-name,Required if no user_id,varchar(255),Yes,,Contact last name,"Plain text; 1–255 characters. Example: Smith",Use contact-user-id OR person details per role (Owner/Contact)
Contact,Title,e_user,title,contact/title,Optional,varchar(255),Yes,,Job title of contact,"Plain text; up to 255 characters. Example: HR Director",Shown on public job posting for Contact role
Contact,Email,e_user,email,contact/email,Required if no user_id,varchar(255),Yes,,Contact email (used for match),"Valid email address; up to 255 characters. Example: jane.smith@example.edu",Used to match or create e_user under employer
Contact,Phone number,e_user,phone,contact/phone,Optional,varchar(255),Yes,,Contact phone,"Phone number string; up to 255 characters. Examples: 555-0100, (555) 123-4567, +1-555-123-4567",
Contact,Address line 1,e_user,address1,contact/address1,Optional,varchar(255),Yes,,Street address line 1,"Plain text; up to 255 characters. Example: 100 Main Street",Not shown in TE-77187 XML sample; included for completeness
Contact,Address line 2,e_user,address2,contact/address2,Optional,varchar(255),Yes,,Street address line 2,"Plain text; up to 255 characters. Example: Suite 200",Not shown in TE-77187 XML sample; included for completeness
Contact,City,e_user,city,contact/city,Optional,varchar(255),Yes,,City,"Plain text; up to 255 characters. Example: Springfield",
Contact,State,e_user,state,contact/state,Optional,varchar,Yes,,State (resolved to State_ID),"US state abbreviation or name; resolved to State_ID. Examples: IL, California",
Contact,Zip,e_user,postal_code,contact/postal-code,Optional,varchar(255),Yes,,ZIP/postal code,"Postal code string; up to 255 characters. Examples: 62701, 62701-1234, K1A 0B1",
Salary,Minimum salary,e_job,pay_min,salary-min,Optional,decimal,Yes,,Minimum salary amount,"Non-negative decimal; no currency symbol. Examples: 45000, 45000.00, 22.50",Shown only when pay_display = 1
Salary,Maximum salary,e_job,pay_max,salary-max,Optional,decimal,Yes,,Maximum salary amount,"Non-negative decimal; no currency symbol. Examples: 65000, 65000.00, 35.00",Shown only when pay_display = 1
Salary,Pay type,e_job,JobPayType_ID,salary-type,Optional,tinyint(3),Yes,,Pay type ID → D_JobPayType (per year / per hour / salary),"Positive integer ID referencing D_JobPayType lookup. Example: 1. Label examples: per year, per hour, salary",ATS jobs may use ats_salarycode (salary-code) free-text label instead
Job details,Job title,e_job,job_title,title,Yes,varchar(500),No,,Job title,"Plain text; 1–500 characters. Example: Mathematics Teacher",
Job details,Job description,e_job,description,summary,Yes,mediumtext,Yes,,Job description; HTML allowed,"HTML or plain text. Use CDATA in XML for markup. Example: <p>Seeking a certified teacher.</p>",
Job details,Info URL,e_job,info_url,detail-url,Yes,varchar(500),Yes,,Candidate redirect/apply URL,"Absolute URL; up to 500 characters. Example: https://example.com/apply/JOB-CODE-1",
Job details,Employer name,e_job,DisplayEmployer,(derived from employer context),Yes,varchar(100),No,,Employer display name,"Plain text; up to 100 characters. Example: Springfield School District",Not an explicit XML element in TE-77187; typically set from employer/import context
Job details,Job type,e_job,JobType_ID,full-time / part-time,Yes,tinyint(3),No,0,"1=Full-time, 2=Part-time, 20=Summer, 40=After school/Evening, 41=Full-time Unpaid, 42=Part-time Unpaid","Backend: integer enum (tinyint). XML: boolean elements <full-time>true|false</full-time> and <part-time>true|false</part-time>. Examples: JobType_ID=1 or full-time=true & part-time=false",XML uses boolean full-time and part-time elements
Job details,Grade level,e_job,gradelevel,grade-level,Optional,tinyint(3),No,,"3=Preschool; allowed values: 3, 5, 10, 15, 25, 20","Integer enum (tinyint). XML: single integer value in <grade-level>. Example: <grade-level>3</grade-level> for Preschool. Allowed backend values: 3, 5, 10, 15, 25, 20",
Job details,Posting date,e_job,DisplayDate,posted-date,Recommended,datetime,Yes,,Posting/display date,"Date/time. XML format per TE-77187 sample: MM-DD-YYYY. Example: 07-16-2026. Backend: datetime",
Job details,Close date,e_job,close_date,close-date,Optional,datetime,Yes,,Job close date,"Date/time. XML format per TE-77187 sample: MM-DD-YYYY. Example: 08-15-2026. Backend: datetime",
Job details,Positions,e_job,Positions,positions,Optional,smallint(5),Yes,,Number of openings; use 0 if unknown,"Non-negative integer (smallint). Example: 2. Use 0 if unknown",
Job details,School year,e_job,SchoolYear,(not in TE-77187 XML sample),Optional,tinyint(3),Yes,,Two-digit school year when available,"Two-digit integer representing school year. Example: 26 for 2025–26 school year",
Job details,Job category,E_Job_JobCategory / D_JobCategory,jobcategory_id,categories/category,Recommended,int(10),No,,One or more category IDs,"One or more positive integer IDs. XML: <categories><category id=""101"" /><category id=""102"" /></categories>",Links job to subcategory; parent via D_JobCategory_Parent
Location,Location name,e_location,location_name,location-name,Optional,varchar(255),Yes,,School/building/location name,"Plain text; up to 255 characters. Example: Lincoln High School",Use location-id OR address fields per job
Location,Address line 1,e_location,address1,address1,Optional,varchar(255),Yes,,Street address line 1,"Plain text; up to 255 characters. Example: 100 Main Street",Required path when no location_id: city + state + postal_code minimum
Location,Address line 2,e_location,address2,address2,Optional,varchar(255),Yes,,Street address line 2,"Plain text; up to 255 characters. Example: Building A",
Location,City,e_location,city,city,Required if no location_id,varchar(255),Yes,,City,"Plain text; up to 255 characters. Example: Springfield",Also used to set e_job.DisplayLocation (e.g. Springfield IL)
Location,State,e_location,state,state,Required if no location_id,varchar,Yes,,State (resolved to state_id),"US state abbreviation or name; resolved to state_id. Examples: IL, California",
Location,Zip,e_location,postal_code,postal-code,Required if no location_id,varchar(255),Yes,,ZIP/postal code,"Postal code string; up to 255 characters. Examples: 62701, 62701-1234",
